Sample_12929	Sample_15467	Sample_13634	Sample_14428	Sample_11817	Sample_14958	Sample_12935	Sample_13636	Sample_13774	Sample_14965	Sample_12889	Sample_8356	Sample_11918	Sample_11522	Sample_15002
FAM87B	0.235074018052268	0.114840263037868	0.0557487217909806	0	0	0.323613552889144	0	0	0	0.156062090461819	0	0	1.23527012235297	0.11892222850484	0.0460901156725219
LINC00115	7.36265162773098	6.88240448806194	8.61430843840973	5.4616571686443	5.70129642353733	19.816589166646	3.35436832482247	11.4059410780756	5.4544235296537	5.9069535869712	12.8818525944819	6.31308772469475	1.39879135751591	6.76837067676048	11.4888557402837
FAM41C	0	0.146049843651377	0	0.378907139392927	0.634379609978558	0	0	0.914117429363798	0	0	0.243433229945707	0	0	0.516362370272105	0
SAMD11	3.81768191094538	13.1919086964903	2.54044243395298	20.2266120856056	0.497259380791689	10.465802833871	0.13668952834596	4.33683850749068	4.52238744810359	0.948338820869154	6.93207308196629	0	0	0.550736729941336	1.46185908497544
NOC2L	49.2628829579557	42.5503868179381	45.2165082079798	40.6154459587719	43.494800898385	38.5585358019575	48.6747091466538	58.4742592687201	38.1145515866002	40.7385216568244	52.410009866862	57.7727375734704	74.878058014525	66.155501262131	44.0769867934053
KLHL17	6.95186703853986	2.21724846569771	3.52455121021045	2.76150273347089	5.74342832764135	3.81648245544638	5.02584483334899	9.12968354124299	3.78409232253581	5.42818472106218	4.5332535406021	6.86031532754407	39.5409361497834	3.05689784195127	4.06263336018463
PLEKHN1	1.87037608892619	3.58123141805225	1.20081952743848	1.1407395269238	2.94183740728233	1.958543130809	2.35280514942733	5.15240211359357	1.02780262168714	1.51527431865004	2.54897725862901	0.750893271295847	2.41045595240352	1.25653277041268	2.55689102673276
HES4	139.409095480653	53.3213474421164	25.2574640210243	55.4310431928182	5.9283518867713	69.9831018034277	20.9687228929615	29.569964574771	39.1998368288924	14.2569882177509	22.5726415487053	24.4622855807272	15.2786371898668	40.7459314206988	51.034406277163
ISG15	474.982152970413	148.077825174021	172.934954469854	196.276874522556	197.234509216265	222.873316206218	375.346826642304	167.004455161099	260.103783334215	147.902280603271	299.178786263002	249.124502619854	207.751685158192	232.809899603207	294.956394061812
AGRN	19.8267873165861	17.9504218923055	5.06041047859161	30.5231290513116	11.7095133115204	24.9037751316122	9.73452972916184	21.0073556778739	11.7398810335107	10.5865921479622	3.54568963850624	0.937338114894784	35.3623301987702	5.74839194325015	7.49053959324594
RNF223	0.433513934583409	0	0	0	0.0834491677005787	0.69345118366378	0.146486092454097	0	0.245782069160558	0	0	0	0	0.121279022901401	0
C1orf159	4.81312044967139	5.26330686856398	7.06869402303685	7.07135995558738	10.7292213377328	9.94377795613627	8.39281189376098	9.96675115959532	8.63759609540076	14.3607465815116	10.0355508591787	9.09190779340908	21.6091662993783	8.89339955018994	5.66877310746401
TTLL10-AS1	0	0.0733169825578801	0.0626682416591134	0	0.0555977237634993	0	0.0503599949332377	0	0	0	0	0	0	0	0
TTLL10	2.10554767205314	3.24800733103543	0.732532242249964	0.389439692477476	2.44468099534536	0.910759432548697	0	0.807571305675718	0.920080678535728	2.01365785778111	1.27122478564693	0	4.08122874096186	0.310378368518929	0
TNFRSF18	199.082215488854	88.4007812592582	136.699838856447	81.0776577807964	240.866164415082	151.087167724599	153.501349537872	166.095544247834	134.968656725619	77.2368102213918	204.766841163839	87.3676447366201	85.6377361322732	137.782941865113	119.357817594408
TNFRSF4	208.83392272004	93.9479693210016	98.0525028909222	72.9643542678399	135.848329465248	95.3996495416045	169.770731095717	130.361468231579	84.0890634326414	36.7987852565796	145.884358040931	59.182538414629	62.1912999258356	91.552173768387	86.5750653315944
SDF4	101.649237148806	78.5586140343892	91.5196260386797	94.9968861024476	84.867835234171	100.946625050431	99.995564008057	91.0054534308078	90.8350038028247	82.6873320501614	86.6152898060987	104.881211140458	74.7509509781628	99.3741218912578	75.8530368235419
B3GALT6	15.7692961495688	11.3047551335004	12.0072910449787	12.3569716403194	2.59595377312251	4.73334580615842	3.78606153717253	3.74302245432802	9.72997211236612	7.68677178496852	6.78745039511965	15.7601809693259	7.54331897527633	5.35630061457805	10.5154398130228
UBE2J2	51.7265663057906	49.3777244743997	62.3585274100832	53.5644014318145	64.5121287087696	56.8145630911348	62.7272290590041	83.4324577155607	60.5596123867415	62.5844291888753	80.963829684915	59.7557147912313	67.3539848181938	72.3951620017424	70.2149449597604
SCNN1D	0	0.419339452709755	0.64635785490536	0.461937542241009	0.479678313195955	0.630732135115616	0.344840302236383	2.11295404266676	0.480629665399627	0.726219902721407	0.568713903809776	0.912881171351218	0	0.216575326563946	0.326708535612621
ACAP3	21.9026726760721	19.6271265252566	15.8788745171732	20.5830408938648	19.5362504657385	18.58760114658	16.1984606458112	79.6753980096698	21.3353516987687	23.3900653547897	28.4797909024206	10.6118849101204	32.4554835126752	16.3095277033481	20.9381740875501
PUSL1	28.2312774169483	26.1289415325168	19.1561924191463	17.4884976373328	16.3061412796609	22.2166349978939	20.726131045286	9.66460580233877	17.4313236586863	20.9369383697803	20.1555386721986	20.0057843461838	8.84391969025889	26.8084559433931	23.5031880711143
TAS1R3	0.64804911513726	1.5352327654327	0.526474329342915	0.382738939880329	0.467832603485221	0	0.755196464728374	4.91576754088157	1.15172689489929	0	1.77910556032673	0	0	0.158372255413969	2.51518963275214
