"Cell_subgroups","Methods-signatures"
"CD4.cells_Subgroup.4.Iteration.1","Epidish_TIL10_CD4.cells
DWLS_TIL10_CD4.cells"
"CD4.cells_Subgroup.1.Iteration.2","DWLS_CCLE.TIL10_CD4.cells
CD4.cells_Subgroup.4.Iteration.1"
"CD4.memory.activated_Subgroup.1.Iteration.1","DeconRNASeq_LM22_CD4.memory.activated
Epidish_LM22_CD4.memory.activated
CBSX_LM22_CD4.memory.activated
DWLS_LM22_CD4.memory.activated"
"CD4.memory.resting_Subgroup.1.Iteration.1","Epidish_LM22_CD4.memory.resting
DWLS_LM22_CD4.memory.resting"
"CD4.naive_Subgroup.1.Iteration.1","DeconRNASeq_LM22_CD4.naive
DWLS_LM22_CD4.naive"
"CD8.cells_Subgroup.1.Iteration.1","Quantiseq_CD8.cells
DWLS_CCLE.TIL10_CD8.cells
DeconRNASeq_LM22_CD8.cells
Epidish_CBSX.Melanoma.scRNAseq_CD8.cells
DWLS_TIL10_CD8.cells
DWLS_BPRNACan_CD8.cells
CBSX_CBSX.Melanoma.scRNAseq_CD8.cells
Epidish_LM22_CD8.cells
DeconRNASeq_CBSX.HNSCC.scRNAseq_CD8.cells
DWLS_CBSX.Melanoma.scRNAseq_CD8.cells
Epidish_CBSX.NSCLC.PBMCs.scRNAseq_CD8.cells
CBSX_CCLE.TIL10_CD8.cells"
"CD8.cells_Subgroup.2.Iteration.1","Epidish_CBSX.HNSCC.scRNAseq_CD8.cells
CBSX_CBSX.HNSCC.scRNAseq_CD8.cells"
"CD8.cells_Subgroup.1.Iteration.2","CBSX_TIL10_CD8.cells
CD8.cells_Subgroup.1.Iteration.1"
"T.cells.regulatory_Subgroup.1.Iteration.1","Epidish_DWLS.Vanderbilt.scRNAseq_T.cells.regulatory
DWLS_DWLS.Vanderbilt.scRNAseq_T.cells.regulatory"
"T.cells.helper_Subgroup.1.Iteration.1","DeconRNASeq_LM22_T.cells.helper
Epidish_LM22_T.cells.helper"
"T.cells.helper_Subgroup.1.Iteration.2","DWLS_LM22_T.cells.helper
T.cells.helper_Subgroup.1.Iteration.1"
"Dendritic.cells_Subgroup.1.Iteration.1","Epidish_CBSX.HNSCC.scRNAseq_Dendritic.cells
CBSX_CBSX.HNSCC.scRNAseq_Dendritic.cells"
"Dendritic.cells_Subgroup.2.Iteration.1","Epidish_CCLE.TIL10_Dendritic.cells
DWLS_CCLE.TIL10_Dendritic.cells
Epidish_TIL10_Dendritic.cells
DeconRNASeq_TIL10_Dendritic.cells"
"Dendritic.resting_Subgroup.1.Iteration.1","DeconRNASeq_LM22_Dendritic.resting.cells
Epidish_LM22_Dendritic.resting.cells"
"Dendritic.resting_Subgroup.1.Iteration.2","DWLS_LM22_Dendritic.resting.cells
Dendritic.resting_Subgroup.1.Iteration.1"
"Dendritic.resting_Subgroup.1.Iteration.3","CBSX_LM22_Dendritic.resting.cells
Dendritic.resting_Subgroup.1.Iteration.2"
"Cancer_Subgroup.1.Iteration.1","DeconRNASeq_BPRNACanProMet_Cancer
CBSX_BPRNACan3DProMet_Cancer
CBSX_BPRNACan_Cancer"
"Cancer_Subgroup.2.Iteration.1","DWLS_CBSX.HNSCC.scRNAseq_Cancer
CBSX_CBSX.HNSCC.scRNAseq_Cancer"
