Sample_15002	Sample_14958	Sample_15467	Sample_12889	Sample_11817	Sample_11522	Sample_14428	Sample_13774	Sample_13634	Sample_14965	Sample_12935	Sample_8356	Sample_12929	Sample_13636	Sample_11918
FAM87B	0	0.330239792232334	0.28198439934136	0	0	0.0284761791513671	0	0	0	0	0	0	0.334158418139492	0	0
LINC00115	13.9398573657856	18.1251711878921	10.1860364169238	14.5366964022176	5.37897199899978	6.93133736831547	7.18455557325546	3.70209895444335	11.1169950158872	4.69266215413485	3.84101931710415	8.08235088319745	4.43751086768519	31.0491393303542	0
FAM41C	0	0	0	0.194511197286783	2.65784479660668	1.678717046164	0	0	0	0	0	0	0	0	0
SAMD11	1.09219574069954	12.1555695655349	3.38110101088447	1.61003497946156	0	0	13.612942050696	1.75080484936982	0	0	0	0	0	16.2342289361533	0
NOC2L	52.6453970616831	44.7519839854614	54.6578395500617	56.4844670852061	48.5511566082112	88.383656893808	50.1691683797306	50.9612495829644	59.0860222250054	55.0314390823605	60.8040874281704	58.8182348567635	64.9207702705095	58.2565230583917	82.531748761923
KLHL17	5.96257494173914	2.5157239573872	1.65166394868948	4.26471936494351	9.20677767160629	3.77521023234496	4.14661302040324	5.38288603134035	3.78067387960108	4.5334226185592	5.78290736490764	19.9983842522368	9.93385226886461	8.58065644329831	88.5503919896057
PLEKHN1	2.59117415136973	1.20234141614084	4.90720536583826	1.72809742977836	4.52613301180224	1.38058437296716	2.28891397939454	1.30902170115104	0.773442756439962	1.8524348660916	2.9613189397476	1.17070305305313	0.866216432349993	6.89375303172078	16.894869914571
HES4	39.9359628053685	60.1769767613918	32.5414161232783	11.0277712398803	0.630347786752925	31.676944140607	33.9537133313036	12.3404988211012	15.5603015218079	3.75594768238082	13.5742805149265	57.3666849033248	147.941587018639	1.62228689194659	0
ISG15	360.516403880439	230.95207836624	163.076481391953	355.411619039114	271.873229531816	284.198481718958	232.627147641125	283.376952866235	204.909402921478	169.433142155563	407.649734888881	344.521914243671	544.283445277485	149.255405491083	323.326983327402
AGRN	2.84185186982358	13.9920413583933	4.7600195486117	1.11283977388024	2.40832686131118	1.97773192434824	7.35168109674419	2.75691108934573	2.49840710975772	0	3.86357569067411	0	8.03322276843736	0	52.4290588296589
RNF223	0	0	0	0	0	0.011311261835182	0	0	0	0	0	0	0	0	0
C1orf159	6.34446637133178	16.3893129356715	6.03282525523372	13.7862859139238	11.9580789600767	10.4357158925783	8.80222856399485	9.595773378495	6.2946070835204	17.9949559141188	16.3658667393216	7.98813958155335	4.56350060838402	31.5961743275328	11.1958784601018
TTLL10-AS1	0	0	0.0858970829395462	0	0	0	0	0	0	0	0	0	0	0	0
TTLL10	0	0	1.52474002464952	0	0.852976599167752	0.428651537540653	0.151649224854185	0.194887464864853	0.489835620671819	0.340112734189883	0	0	2.01092082376408	0	0
TNFRSF18	111.594866884617	174.94802367116	77.5219309734799	154.001965972733	222.565008730283	130.437074687009	68.7356839558154	73.7250079366057	120.2417585913	70.8052783454253	132.176726051887	120.822350249417	184.568830236221	121.462331597555	53.0328982924238
TNFRSF4	73.6600426129146	93.90257605801	76.8239271978882	135.560987249193	137.492303042637	88.4399385355044	62.7408019300302	52.634224440545	85.1616335413716	32.7319333524899	223.585131200287	106.048136044853	286.957294735058	73.5030501578696	115.224293799455
SDF4	87.9173096698628	104.974742841205	84.6759183663812	92.0718702391199	97.2176304901033	125.111229045122	98.7484934547736	107.997718440288	100.747174408055	100.806966999429	136.342269874998	139.553691752507	124.337361602572	104.509466716381	76.2782888583861
B3GALT6	13.2402781466495	3.34024857681164	13.9543024952589	7.03711828813095	2.96823835872661	7.35152446586903	14.6190631136411	11.405874326896	14.7175249569953	8.23644278477395	5.09314658932981	17.116784542376	23.9618184198823	0.817714330475075	12.6157912654691
UBE2J2	86.2763113335172	56.3079167462873	55.0812169927829	86.7985879244526	81.2788411868952	88.784138628202	63.1743177477071	83.8123630241347	71.4930347757007	71.1937721812724	78.1816235285779	83.6851871448684	55.9563688127686	77.840640123998	115.986415133485
SCNN1D	0.266461119475923	0.455751643342287	0.0713107370301344	0.662455025252773	0.866852900838946	0.0372293844003081	0.187822956895483	0.661815629820847	0.245019280657375	0.335486664979278	0.113209970961961	1.42325522844448	0	6.8603456705567	0
ACAP3	21.4288927424279	16.3441229758929	17.8559990398447	34.1949357641672	17.1190569992674	14.0067379461376	19.2733914975969	16.5277652753743	15.4752214545667	28.614957602521	15.6252799716193	13.5357093160375	24.3480493643024	182.439374026273	0
PUSL1	27.2287725111357	22.9833885481599	32.9869275344897	25.8033347535347	14.0663597298396	38.0345014157344	23.9845678785964	15.6213236689006	20.5347575188073	29.8542810627557	24.4119418288182	34.7532976312935	38.156386224804	11.3801068296039	0
TAS1R3	2.77010818268408	0	1.2106439279184	1.6763555531204	0.0971365799451844	0.0466787876544093	0.273959624733335	0.553703632079327	0.234923935305495	0	0.459987802315759	0	0	18.3338351298089	0
DVL1	3.0469935847936	5.22043643373636	1.65451027635328	2.35974701679885	1.39837075235253	2.26216579740226	1.82097582462767	0.782296278021164	1.52245721875965	1.45724764958048	3.49142472334062	6.66725613012551	3.29117540242815	19.552492705716	0
MXRA8	0.211652921274771	127.790259426096	4.23105848891512	0	0.0860619203349499	0.171244829434091	49.9810294786603	8.96309883224804	0.134220151901501	0	0	0	2.10138067215838	6.8054634088475	0
